abnormal
abruptly
absorb
abuser
abusive
accompany
accurately
accuse
activate
adapt
adjustment
advertisement
adviser
aggressively
agreeable
airhead
airspace
airstrike
alight
align
aljunied
allowance
ambition
annoyance
anxiously
apologise
appetite
appoint
arise
assign
astonishment
astronaut
attach
attachment
attendant
avatar
await
awkwardly
backbone
backdoor
backfire
backyard
baggage
bait
balloon
banker
barricade
batch
bathe
bathtub
beautician
befriend
believable
betray
betrayal
billiard
billionaire
biscuit
bittersweet
blend
blossom
blunt
blur
boarder
bonnet
boo
bookshelf
boomer
borrower
boyish
brace
brake
bravery
breaker
breeder
bruise
bruised
bullying
burner
businesswoman
buttock
bypass
bystander
calculate
calculation
calmly
cancellation
cane
capsule
caregiver
carer
carpark
carrot
carve
cater
caution
celeb
certainty
chairperson
chatbot
checkpoint
cheek
chess
childcare
choking
chore
chunk
clarify
classmate
claw
clearance
cling
clothe
cluster
clutch
coastline
collector
compartment
competitor
compliment
conclude
condominium
confess
confine
confinement
confront
congested
congestion
connector
considerate
consist
consult
contestant
convict
cooperate
cooperative
coordinate
coordinator
cosmetic
costly
cough
courteous
criticise
cruelty
crunch
curl
cushioned
customise
cyber
cybercafe
darken
darkest
dashboard
deceased
deepen
defect
defenceless
dehydrate
deletion
depart
dependant
depot
desktop
detach
detector
diaper
diehard
digest
directory
disbelief
discharge
discomfort
disconnection
discontinue
discourage
dismiss
dismount
dispose
disqualify
disrupt
disruption
distract
distribute
disturb
disturbance
diver
doom
doubtful
downgrade
downside
downstairs
dramatically
dread
drift
earlobe
earphone
educator
elbow
employ
endanger
endure
enquire
enquiry
enrol
enthusiastic
equaliser
equator
equip
erupt
escalator
esport
evacuate
evacuation
evident
exceed
excel
exclude
exhaust
expectation
expire
expose
expressway
fairer
fallout
fare
faulty
fearful
fetch
finalist
fingernail
firearm
firsthand
flare
flaw
flee
fluent
footballer
footprint
footstep
foreigner
forge
forgetfulness
fossil
fraction
freelancer
frontline
frontliner
frown
frustration
fulfil
fuller
fundraising
furnish
gala
gameplay
gamer
gantry
geography
gesture
getaway
globally
glove
glue
goodwill
govern
governmental
granddaughter
gratitude
grill
grin
groom
groomer
hailing
halt
harbour
harmful
harmless
hateful
haul
headache
headphone
heavyweight
hedge
heel
helper
helpless
helplessness
hesitate
hesitation
hike
hollow
homecoming
homemaker
hometown
honk
horrific
hose
hospitalisation
hostel
hotline
humour
idol
impersonate
impersonated
impersonation
importer
impose
impossibility
imprisonment
inappropriate
inconsiderate
inconvenience
inconvenient
indicator
individually
infant
ingredient
injure
inmate
insider
inspect
insulting
insurer
intake
intentional
intentionally
intern
internationally
interpreter
interruption
invalid
investigator
investor
ironic
irregular
irritated
isolate
jewellery
judgement
junction
keyhole
keynote
kibble
kilometre
kitten
lag
landlord
lash
leakage
learner
lender
lever
licence
lifeless
lighten
lightly
litre
litter
livestream
livestreamer
logically
loosely
lorry
loudly
lukewarm
lunchtime
lure
makeover
manpower
manually
marsiling
mash
matchmaker
mattress
mayonnaise
migrant
misbehave
misbehaviour
mismatched
mistreating
misunderstood
mock
moist
motherhood
motorcyclist
motorist
multiplayer
nationality
naughty
neatly
neighbour
neighbourhood
neighbouring
noodle
noticeable
observer
offence
offend
offender
offline
organise
organiser
outage
outbreak
outdated
outline
outsider
oval
overhead
overly
oversized
overuse
overused
overwhelmed
pageant
painfully
pandemic
panicked
paperwork
parental
participant
patchy
pathway
payout
performer
perk
persuade
petrol
photoshoot
pillar
pinch
pioneer
plank
playful
playpen
plead
pleading
plum
polytechnic
pond
positivity
postpone
powerless
practise
pram
prefect
preschool
prompt
pronounce
punish
qualifier
quarantine
quarrel
query
queue
ramp
rash
reboot
rebuild
recess
recharge
recognise
recount
redesign
refuel
refund
regulated
rehome
relay
relocate
relook
remarry
rename
renew
reopen
repay
replant
reroute
rescuer
researcher
resemble
respectable
respectful
responsibly
retake
retest
retrieve
reunite
revolve
rewrite
rickshaw
risky
roadmap
roam
roar
robotic
roleplay
rubbish
ruler
rumble
runway
sadness
salon
salute
sandbox
saviour
scald
scam
scammer
scanner
scar
scissor
scold
scramble
screentime
seafood
seater
seeker
semangat
sensor
shaky
sharply
shatter
shipyard
shockwave
shortage
shove
showcase
shrug
shutdown
shuttle
sickness
signboard
silat
similarity
simplified
simplify
sincerity
skillset
skinny
slap
slipper
slowdown
smack
smartwatche
smoothy
socialise
socially
sofa
soften
softly
spark
spectacle
spectator
speechless
spike
spoil
sponge
spotlight
sprinkle
squat
squatting
stab
stain
stale
stall
standby
stepdaughter
stepfather
stepmother
stepsibling
sticky
stiff
stoppage
storey
stressful
stubborn
stun
subletting
subsidy
summarise
supermarket
supervisor
supplier
surcharge
surge
sweeping
swiftly
swimmer
swollen
swum
tailor
tanker
teaser
televise
temper
tenancy
tenant
tense
terrified
tester
thankfully
tighten
tilt
timeslot
toddler
toenail
token
toothbrush
toss
towel
trainee
transformer
translate
translator
traveller
tray
trickle
triumph
trolling
tub
tuition
tumble
turtle
tutorial
unacceptable
unaffected
unauthorised
unaware
unbearable
uncaring
uncertain
unchanged
unclear
uncommon
uncover
underway
uneven
unexpectedly
unfamiliar
unfit
unfold
unfriendly
unhappiness
unhealthy
unlicensed
unlock
unnoticed
unpaid
unplanned
unprepared
unreasonable
unsafe
unsuitable
unsure
untruth
unused
unwell
upfront
uphill
uplift
upload
upward
vaccination
veil
vent
vet
vibe
viewpoint
violently
visor
waitlist
wardrobe
washroom
weaken
weigh
whistle
widen
willingness
windscreen
wiper
worsen
wrongdoing
wushu
youngster
zebra
